marker	reference_log2FC	reference_direction	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	ontology_domain	ontology_parent	ontology_detail	human_disease_scope	detected	display_gene	feature_id	uniprot_id	protein_name	log2FC	p_value	FDR	abs_log2FC	tier	cohort_direction	direction_agreement	concordance_status
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	ACTG1	P63261	P63261;I3L3I0;I3L1U9;I3L4N8;I3L3R2;J3KT65;K7EM38	Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	0.043555671043805	0.895610676114455	0.996330461599987	0.043555671043805	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	VWF	P04275	P04275;P04275-2	von Willebrand factor;von Willebrand antigen 2	-0.845453083725978	0.131935369902996	0.724252679072191	0.845453083725978	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	GPX3	A0A087X1J7	A0A087X1J7;P22352;H0YBE4	Glutathione peroxidase 3	0.196448002055277	0.556892293667327	0.949168626313494	0.196448002055277	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	C4B	P0C0L5	P0C0L5;F5GXS0;REV__Q19T08;Q8IYE1	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	-0.304061354020593	0.203496738543523	0.789457270353115	0.304061354020593	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	CFHR2	P36980-2	P36980-2;P36980;V9GYE7	Complement factor H-related protein 2	-0.0286755817998205	0.83036588673813	0.996330461599987	0.0286755817998205	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	ITIH3	Q06033-2	Q06033-2;Q06033;E7ET33;A0A087WW43;CON__Q0V8M9	Inter-alpha-trypsin inhibitor heavy chain H3	0.674747346394209	0.217546448845122	0.789457270353115	0.674747346394209	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	LRG1	P02750	P02750	Leucine-rich alpha-2-glycoprotein	0.445725897046561	0.221675654323149	0.789457270353115	0.445725897046561	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	VWF	VWF		VWF	0.562044588235294	0.0422406028755144	0.0589548081269422	0.562044588235294	suggestive	up_in_case	same_direction	concordant_dep
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	ITIH3	ITIH3		ITIH3	0.425339647058823	0.0059468198503633	0.0095323040346094	0.425339647058823	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
